Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124746E228250,24E124FFFEFAB29D,472300000,SF7BW125, -53/11.5,14,45,UpUnc,2026-07-15T15:54:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 155421276
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 45
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 11.5
RSSI: -53
Power: -
Payload(b64): A5ceAQAABJhTAAln//8=
Payload(hex): 03971e010000049853000967ffff
JSON: {""current"":0.83,""temperature_sensor_status"":2,""total_current"":2.86}
MIC: 74e53d44"
24E124746E228250,24E124FFFEFAB29D,472100000,SF7BW125, -50/12.8,14,44,UpUnc,2026-07-15T15:53:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 95424075
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 44
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 12.8
RSSI: -50
Power: -
Payload(b64): A5ceAQAABJgAAAln//8=
Payload(hex): 03971e010000049800000967ffff
JSON: {""current"":0,""temperature_sensor_status"":2,""total_current"":2.86}
MIC: cb42de27"
24E124746E228250,24E124FFFEFAB29D,472700000,SF7BW125, -52/13.8,14,43,UpUnc,2026-07-15T15:52:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 35417968
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 43
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.8
RSSI: -52
Power: -
Payload(b64): A5ceAQAABJgAAAln//8=
Payload(hex): 03971e010000049800000967ffff
JSON: {""current"":0,""temperature_sensor_status"":2,""total_current"":2.86}
MIC: 31f85f93"
24E124746E228250,24E124FFFEFAB29D,472300000,SF7BW125, -52/9.5,14,42,UpUnc,2026-07-15T15:51:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 4270392307
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 42
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 9.5
RSSI: -52
Power: -
Payload(b64): A5ceAQAABJgAAAln//8=
Payload(hex): 03971e010000049800000967ffff
JSON: {""current"":0,""temperature_sensor_status"":2,""total_current"":2.86}
MIC: 7574fed5"
24E124746E228250,24E124FFFEFAB29D,473100000,SF7BW125, -59/13.2,14,41,UpUnc,2026-07-15T15:50:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 4210390089
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 41
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.2
RSSI: -59
Power: -
Payload(b64): A5ceAQAABJhGAAln//8=
Payload(hex): 03971e010000049846000967ffff
JSON: {""current"":0.7,""temperature_sensor_status"":2,""total_current"":2.86}
MIC: 92ea319a"
24E124746E228250,24E124FFFEFAB29D,472700000,SF7BW125, -69/12.5,14,40,UpUnc,2026-07-15T15:49:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 4150390191
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 40
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 12.5
RSSI: -69
Power: -
Payload(b64): A5cdAQAABJhNAAln//8=
Payload(hex): 03971d01000004984d000967ffff
JSON: {""current"":0.77,""temperature_sensor_status"":2,""total_current"":2.85}
MIC: 60eb4227"
24E124746E228250,24E124FFFEFAB29D,473300000,SF7BW125, -80/7.8,14,39,UpUnc,2026-07-15T15:48:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 4090397970
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 39
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 7.8
RSSI: -80
Power: -
Payload(b64): A5cbAQAABJg2AAln//8=
Payload(hex): 03971b010000049836000967ffff
JSON: {""current"":0.54,""temperature_sensor_status"":2,""total_current"":2.83}
MIC: 2f928279"
24E124746E228250,24E124FFFEFAB29D,473100000,SF7BW125, -70/12.2,14,38,UpUnc,2026-07-15T15:47:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 4030390801
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 38
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 12.2
RSSI: -70
Power: -
Payload(b64): A5caAQAABJhKAAln//8=
Payload(hex): 03971a01000004984a000967ffff
JSON: {""current"":0.74,""temperature_sensor_status"":2,""total_current"":2.82}
MIC: 031f4d16"
24E124746E228250,24E124FFFEFAB29D,472300000,SF7BW125, -78/7.8,14,37,UpUnc,2026-07-15T15:46:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3970397082
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 37
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 7.8
RSSI: -78
Power: -
Payload(b64): A5cZAQAABJg8AAln//8=
Payload(hex): 03971901000004983c000967ffff
JSON: {""current"":0.6,""temperature_sensor_status"":2,""total_current"":2.81}
MIC: 63dbc845"
24E124746E228250,24E124FFFEFAB29D,472100000,SF7BW125, -67/13.2,14,36,UpUnc,2026-07-15T15:45:59+08:00,"Dev Addr/Multicast Addr: 06d5c9db
GwEUI: 24E124FFFEFAB29D
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124746E228250
Class Type: Class A
Immediately: -
Timestamp: 3910399706
Type: UpUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 36
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 13.2
RSSI: -67
Power: -
Payload(b64): A5cYAQAABJhEAAln//8=
Payload(hex): 039718010000049844000967ffff
JSON: {""current"":0.68,""temperature_sensor_status"":2,""total_current"":2.8}
MIC: 7bc35a4d"
